BRDF 112 6 483.0 560.0 662.0 835.0 1648.0 2206.0 0.0041 0.0045 0.0047 0.0053 0.0079 0.0097
2453462 1 0.94 8.2 41.97 324.25 0.0941 0.1158 0.1452 0.2025 0.3505 0.2748
2453510 1 0.94 8.2 28.20 313.53 0.1005 0.1359 0.1818 0.2668 0.4278 0.3586
2453574 1 0.94 8.2 29.77 309.76 0.0328 0.0534 0.0339 0.3485 0.1754 0.0847
2453590 1 0.94 8.2 32.90 314.54 0.0381 0.0507 0.0400 0.3660 0.1693 0.0714
2453590 1 -1.00 8.2 32.90 314.54 -0.9999 -0.9999 -0.9999 -0.9999 -0.9999 -0.9999
2453622 1 0.94 8.2 41.47 326.23 0.0455 0.0690 0.0539 0.3224 0.1984 0.0959
2453622 1 -1.00 8.2 41.47 326.23 -0.9999 -0.9999 -0.9999 -0.9999 -0.9999 -0.9999
2453670 1 0.94 8.2 57.30 338.69 0.1234 0.1745 0.2205 0.3266 0.4025 0.2809
2453670 1 -1.00 8.2 57.30 338.69 -0.9999 -0.9999 -0.9999 -0.9999 -0.9999 -0.9999
2453750 1 0.94 8.2 66.79 335.08 0.1071 0.1396 0.1747 0.2316 0.3638 0.2786
