BRDF 112 6 483.0 560.0 662.0 835.0 1648.0 2206.0 0.0041 0.0045 0.0047 0.0053 0.0079 0.0097
2451590 1 1.11 8.2 58.83 331.22 0.1058 0.1369 0.1858 0.2726 0.3656 0.2709
2451638 1 1.11 8.2 40.85 324.93 0.1311 0.1542 0.1810 0.2534 0.3430 0.2825
2451638 1 1.22 8.2 40.85 324.93 0.1291 0.1505 0.1761 0.2462 0.3391 0.2776
2451702 1 1.11 8.2 26.03 310.01 0.0922 0.1164 0.1324 0.2651 0.3626 0.2854
2451702 1 1.22 8.2 26.03 310.01 0.0908 0.1170 0.1328 0.2624 0.3641 0.2846
2451750 1 1.22 8.2 29.13 308.68 0.0413 0.0552 0.0388 0.4090 0.2291 0.1121
2451766 1 1.11 8.2 33.12 316.06 0.0479 0.0653 0.0498 0.4310 0.2433 0.1202
2451782 1 1.11 8.2 37.19 321.85 0.0446 0.0531 0.0411 0.3269 0.2042 0.0994
2451798 1 1.11 8.2 41.96 327.61 0.0707 0.0936 0.1141 0.2464 0.3209 0.2170
2451814 1 1.11 8.2 47.21 332.67 0.0842 0.1200 0.1542 0.2573 0.3363 0.2325
2451990 1 1.22 8.2 45.14 324.83 0.1316 0.1381 0.1518 0.2055 0.3043 0.2442
2452038 1 1.11 8.2 30.30 316.77 0.0615 0.0866 0.1047 0.1735 0.2813 0.2385
2452070 1 1.11 8.2 26.26 308.55 0.0668 0.0835 0.1123 0.1939 0.3272 0.2897
2452134 1 1.11 8.2 34.06 316.19 0.0328 0.0565 0.0371 0.4242 0.1744 0.0714
2452134 1 1.22 8.2 34.06 316.19 0.0338 0.0568 0.0377 0.4205 0.1705 0.0711
2452150 1 1.11 8.2 38.23 322.06 0.0365 0.0605 0.0413 0.3962 0.1761 0.0677
2452182 1 1.11 8.2 48.34 332.73 0.0495 0.0743 0.0804 0.2271 0.1976 0.1156
2452198 1 1.11 8.2 53.73 336.61 0.0533 0.0724 0.1056 0.1878 0.2323 0.1412
2452326 1 1.11 8.2 57.33 329.45 0.0830 0.1070 0.1358 0.1972 0.2897 0.2208
2452454 1 1.11 8.2 26.91 306.28 0.0812 0.1125 0.1257 0.2908 0.3577 0.2695
2452470 1 1.11 8.2 28.64 307.68 0.0476 0.0692 0.0620 0.3843 0.2597 0.1523
2452486 1 1.11 8.2 31.31 311.51 0.0329 0.0555 0.0332 0.5183 0.2229 0.0941
2452486 1 1.22 8.2 31.31 311.51 0.0317 0.0544 0.0326 0.5087 0.2208 0.0930
2452566 1 1.22 8.2 53.49 336.15 0.0833 0.1053 0.1364 0.2084 0.3369 0.2473
2452646 1 1.11 8.2 67.88 336.00 0.0943 0.1123 0.1402 0.1914 0.3215 0.2395
2452790 1 1.11 8.2 27.02 310.42 0.0827 0.1122 0.1375 0.2349 0.4004 0.3526
2452854 1 1.11 8.2 31.83 312.44 0.0231 0.0411 0.0223 0.4412 0.1555 0.0546
2452854 1 1.22 8.2 31.83 312.44 0.0236 0.0411 0.0246 0.4376 0.1542 0.0544
2452918 1 1.11 8.2 50.24 334.13 0.0498 0.0694 0.0893 0.2092 0.2335 0.1286
2452918 1 1.22 8.2 50.24 334.13 0.0493 0.0668 0.0866 0.2040 0.2279 0.1284
2452934 1 1.11 8.2 55.57 337.60 0.0492 0.0641 0.0968 0.1658 0.2218 0.1195
2452934 1 1.22 8.2 55.57 337.60 0.0468 0.0592 0.0936 0.1601 0.2145 0.1154
2453078 1 1.11 8.2 49.27 326.73 0.0943 0.1323 0.1691 0.2367 0.3700 0.2829
2453190 1 1.11 8.2 27.31 306.62 0.0780 0.1117 0.1400 0.2704 0.3591 0.2520
2453222 1 1.22 8.2 31.60 311.24 0.0438 0.0596 0.0421 0.5186 0.2838 0.1429
2453238 1 1.11 8.2 36.15 319.15 0.0281 0.0446 0.0299 0.4914 0.1978 0.0854
2453238 1 1.22 8.2 36.15 319.15 0.0246 0.0442 0.0298 0.4762 0.1961 0.0848
2453254 1 1.11 8.2 40.67 325.08 0.0229 0.0477 0.0218 0.5163 0.2108 0.0833
2453254 1 1.22 8.2 40.67 325.08 0.0212 0.0439 0.0230 0.5167 0.2101 0.0845
2453286 1 1.11 8.2 51.13 334.98 0.0517 0.0667 0.1018 0.1942 0.2570 0.1602
2453286 1 1.22 8.2 51.13 334.98 0.0479 0.0639 0.0987 0.1902 0.2515 0.1600
2453302 1 1.11 8.2 56.45 338.15 0.0632 0.0812 0.1137 0.1780 0.2955 0.2223
2453302 1 1.22 8.2 56.45 338.15 0.0607 0.0786 0.1048 0.1652 0.2713 0.2062
2453334 1 1.22 8.2 63.89 339.66 0.1916 0.1927 0.2064 0.2702 0.2942 0.2357
2453430 1 1.11 8.2 54.28 328.54 0.0834 0.0960 0.1214 0.1777 0.3138 0.2602
2453462 1 1.11 8.2 41.97 324.25 0.0902 0.1115 0.1354 0.2023 0.3502 0.2849
2453574 1 1.11 8.2 29.77 309.76 0.0267 0.0409 0.0301 0.4147 0.1641 0.0609
2453622 1 1.11 8.2 41.47 326.23 0.0520 0.0702 0.0612 0.3024 0.1924 0.0928
2453622 1 1.22 8.2 41.47 326.23 0.0525 0.0700 0.0612 0.2953 0.1885 0.0910
2453670 1 1.11 8.2 57.30 338.69 0.1103 0.1559 0.2163 0.3213 0.3873 0.2570
2453670 1 1.22 8.2 57.30 338.69 0.1056 0.1494 0.2049 0.3082 0.3728 0.2467
2453750 1 1.11 8.2 66.79 335.08 0.1069 0.1353 0.1674 0.2369 0.3501 0.2641
